song_names,writer,year
bien tinh,lam phuong,1965
biet den bao gio,lam phuong,1965
buc tam thu,lam phuong,1957
chieu hanh quan,lam phuong,1958
chieu tay do,lam phuong,1984
chieu thu ay,lam phuong,1952
cho nguoi,lam phuong,1970
chuyen do vy tuyen,lam phuong,1956
chuyen tau thong nhat,lam phuong,1957
con tau dinh menh,lam phuong,1975
duyen kiep,lam phuong,1960
den khuya,lam phuong,1960
dem dai chien tuyen,lam phuong,1966
dem tien don,lam phuong,1970
doan nguoi lu thu,lam phuong,1957
don coi,lam phuong,1965
em la tat ca,lam phuong,1965
huong thanh binh,lam phuong,1954
khoc tham,lam phuong,1972
khuc ca ngay mua,lam phuong,1954
kiep ngheo,lam phuong,1956
kiep tha huong,lam phuong,1960
la thu xuan,lam phuong,1957
la thu mien trung,lam phuong,1957
mot dem trang,lam phuong,1957
mot ki niem,lam phuong,1965
mua hoa phuong,lam phuong,1954
nang dep mien nam,lam phuong,1957
ngay buon,lam phuong,1971
ngay hanh phuc,lam phuong,1960
ngay tam biet,lam phuong,1960
nghen ngao,lam phuong,1969
nhac rung khuya,lam phuong,1953
nho,lam phuong,1995
nhung gi cho em,lam phuong,1968
phut cuoi,lam phuong,1971
sau ly huong,lam phuong,1956
thanh pho buon,lam phuong,1970
thu sau,lam phuong,1969
tien nguoi di,lam phuong,1960
tinh anh linh chien,lam phuong,1958
tinh co do,lam phuong,1956
tinh nghia doi minh chi the thoi,lam phuong,1965
trang thanh binh,lam phuong,1953
vinh biet,lam phuong,1964
