song_names,writer,year
ra di khi troi vua sang,pham dinh chuong,1946
thanh nien tien len,pham dinh chuong,1948
kiep cuoi gia,pham dinh chuong,1949
trang rung,pham dinh chuong,1949
bai ca tuoi tre,pham dinh chuong,1950
chieu buon,pham dinh chuong,1950
muoi thuong,pham dinh chuong,1951
sang rung,pham dinh chuong,1951
doi cho,pham dinh chuong,1952
ho leo nui,pham dinh chuong,1952
ly ruou mung,pham dinh chuong,1952
don xuan,pham dinh chuong,1953
duoc mua,pham dinh chuong,1953
thuo ban dau,pham dinh chuong,1953
hoi trung duong,pham dinh chuong,1954
chia tay ngay he,pham dinh chuong,1954
dat lanh,pham dinh chuong,1956
la thu nguoi chien si,pham dinh chuong,1956
xuan tha huong,pham dinh chuong,1956
mong duoi hoa,pham dinh chuong,1957
moi do xuan ve,pham dinh chuong,1957
tieng dan chai,pham dinh chuong,1957
la thu mua xuan,pham dinh chuong,1958
mat buon,pham dinh chuong,1960
buon dem mua,pham dinh chuong,1961
dem cuoi cung,pham dinh chuong,1961
mau ki niem,pham dinh chuong,1961
xom dem,pham dinh chuong,1962
heo may tinh cu,pham dinh chuong,1963
anh di chien dich,pham dinh chuong,1964
dinh menh buon,pham dinh chuong,1964
"mua sai gon, mua ha noi",pham dinh chuong,1966
da tam khuc,pham dinh chuong,1967
bai ngoi ca tinh yeu,pham dinh chuong,1968
dem mau hong,pham dinh chuong,1968
doi mat nguoi son tay,pham dinh chuong,1969
khi cuoc tinh da chet,pham dinh chuong,1969
nguoi di qua doi toi,pham dinh chuong,1969
nua hon thuong dau,pham dinh chuong,1970
