song_names,writer,year
bien tinh,lam phuong,1965
biet den bao gio,lam phuong,1965
buc tam thu,lam phuong,1957
chieu hanh quan,lam phuong,1958
chieu tay do,lam phuong,1984
chieu thu ay,lam phuong,1952
cho nguoi,lam phuong,1970
chuyen do vy tuyen,lam phuong,1956
chuyen tau thong nhat,lam phuong,1957
con tau dinh menh,lam phuong,1975
duyen kiep,lam phuong,1960
den khuya,lam phuong,1960
dem dai chien tuyen,lam phuong,1966
dem tien don,lam phuong,1970
doan nguoi lu thu,lam phuong,1957
don coi,lam phuong,1965
em la tat ca,lam phuong,1965
huong thanh binh,lam phuong,1954
khoc tham,lam phuong,1972
khuc ca ngay mua,lam phuong,1954
kiep ngheo,lam phuong,1956
kiep tha huong,lam phuong,1960
la thu xuan,lam phuong,1957
la thu mien trung,lam phuong,1957
mot dem trang,lam phuong,1957
mot ki niem,lam phuong,1965
mua hoa phuong,lam phuong,1954
nang dep mien nam,lam phuong,1957
ngay buon,lam phuong,1971
ngay hanh phuc,lam phuong,1960
ngay tam biet,lam phuong,1960
nghen ngao,lam phuong,1969
nhac rung khuya,lam phuong,1953
nho,lam phuong,1995
nhung gi cho em,lam phuong,1968
phut cuoi,lam phuong,1971
sau ly huong,lam phuong,1956
thanh pho buon,lam phuong,1970
thu sau,lam phuong,1969
tien nguoi di,lam phuong,1960
tinh anh linh chien,lam phuong,1958
tinh co do,lam phuong,1956
tinh nghia doi minh chi the thoi,lam phuong,1965
trang thanh binh,lam phuong,1953
vinh biet,lam phuong,1964
ra di khi troi vua sang,pham dinh chuong,1946
thanh nien tien len,pham dinh chuong,1948
kiep cuoi gia,pham dinh chuong,1949
trang rung,pham dinh chuong,1949
bai ca tuoi tre,pham dinh chuong,1950
chieu buon,pham dinh chuong,1950
muoi thuong,pham dinh chuong,1951
sang rung,pham dinh chuong,1951
doi cho,pham dinh chuong,1952
ho leo nui,pham dinh chuong,1952
ly ruou mung,pham dinh chuong,1952
don xuan,pham dinh chuong,1953
duoc mua,pham dinh chuong,1953
thuo ban dau,pham dinh chuong,1953
hoi trung duong,pham dinh chuong,1954
chia tay ngay he,pham dinh chuong,1954
dat lanh,pham dinh chuong,1956
la thu nguoi chien si,pham dinh chuong,1956
xuan tha huong,pham dinh chuong,1956
mong duoi hoa,pham dinh chuong,1957
moi do xuan ve,pham dinh chuong,1957
tieng dan chai,pham dinh chuong,1957
la thu mua xuan,pham dinh chuong,1958
mat buon,pham dinh chuong,1960
buon dem mua,pham dinh chuong,1961
dem cuoi cung,pham dinh chuong,1961
mau ki niem,pham dinh chuong,1961
xom dem,pham dinh chuong,1962
heo may tinh cu,pham dinh chuong,1963
anh di chien dich,pham dinh chuong,1964
dinh menh buon,pham dinh chuong,1964
"mua sai gon, mua ha noi",pham dinh chuong,1966
da tam khuc,pham dinh chuong,1967
bai ngoi ca tinh yeu,pham dinh chuong,1968
dem mau hong,pham dinh chuong,1968
doi mat nguoi son tay,pham dinh chuong,1969
khi cuoc tinh da chet,pham dinh chuong,1969
nguoi di qua doi toi,pham dinh chuong,1969
nua hon thuong dau,pham dinh chuong,1970
ba me o ly,trinh cong son,1972
hat tren nhung xac nguoi,trinh cong son,1969
ben doi hiu quanh,trinh cong son,1972
ben song,trinh cong son,1959
bien nho,trinh cong son,1962
biet dau nguon coi,trinh cong son,1972
buon tung phut giay,trinh cong son,1970
ca dao me,trinh cong son,1965
canh dong hoa binh,trinh cong son,1968
cat bui,trinh cong son,1965
chi co ta trong mot doi,trinh cong son,1972
chieu mot minh qua pho,trinh cong son,1961
chim duoi con mua,trinh cong son,1974
chinh chung ta phai noi,trinh cong son,1969
cho mot nguoi vua nam xuong,trinh cong son,1968
cho nhin que huong sang choi,trinh cong son,1967
cho que huong mim cuoi,trinh cong son,1967
chua mat niem tin,trinh cong son,1972
chua mon giac mo,trinh cong son,1969
con tuoi nao cho em,trinh cong son,1964
cuoi cung cho mot tinh yeu,trinh cong son,1958
da trang ca,trinh cong son,1962
dan ta van song,trinh cong son,1968
"dung lai nguoi, dung lai nha",trinh cong son,1968
dai bac ru dem,trinh cong son,1965
"dem bay gio, dem mai",trinh cong son,1965
dem thay ta la thac do,trinh cong son,1972
di tim que huong,trinh cong son,1965
doa hoa vo thuong,trinh cong son,1972
doi co mot ngay,trinh cong son,1972
doi mat nao mo ra,trinh cong son,1968
dong dao hoa binh,trinh cong son,1968
"dung mong ai, dung nghi ngai",trinh cong son,1969
gia tai cua me,trinh cong son,1965
hanh ca,trinh cong son,1968
hay di cung nhau,trinh cong son,1968
hay nhin lai,trinh cong son,1972
hay song dum toi,trinh cong son,1965
Hue - Sai Gon - Ha Noi,trinh cong son,1969
loi me ru,trinh cong son,1972
loi ru dem,trinh cong son,1972
loi thien thu goi,trinh cong son,1972
"mot ngay vinh quang, mot ngay tuyet vong",trinh cong son,1972
mua ao quan,trinh cong son,1972
nang thuy tinh,trinh cong son,1964
ngay dai tren que huong,trinh cong son,1965
ngay mai day binh yen,trinh cong son,1968
ngu di con,trinh cong son,1965
ngu ngon mua dong,trinh cong son,1965
nguoi con gai Viet Nam da vang,trinh cong son,1965
"nguoi gia, em be (ghe da cong vien)",trinh cong son,1966
nguyet ca,trinh cong son,1972
nhin nhung mua thu di,trinh cong son,1964
nhung ai con la Viet Nam,trinh cong son,1969
nhung giot mau tro bong,trinh cong son,1969
nhung hom nay,trinh cong son,1969
nhung giot mua khuya,trinh cong son,1959
noi vong tay lon,trinh cong son,1968
roi le ru nguoi,trinh cong son,1975
sao mat me chua vui?,trinh cong son,1968
ta di dung co,trinh cong son,1969
ta phai thay mat troi,trinh cong son,1969
ta quyet phai song,trinh cong son,1969
ta thay gi dem nay,trinh cong son,1968
thuong mot nguoi,trinh cong son,1959
tinh ca nguoi mat tri,trinh cong son,1965
tinh xa,trinh cong son,1969
toi biet toi yeu,trinh cong son,1972
toi se di tham,trinh cong son,1965
tu tinh khuc,trinh cong son,1972
tuoi tre Viet Nam,trinh cong son,1969
uot mi,trinh cong son,1958
"Viet Nam oi, hay vung len",trinh cong son,1969
xac ta xac thu,trinh cong son,1972
