song_names,writer,year
ba me o ly,trinh cong son,1972
hat tren nhung xac nguoi,trinh cong son,1969
ben doi hiu quanh,trinh cong son,1972
ben song,trinh cong son,1959
bien nho,trinh cong son,1962
biet dau nguon coi,trinh cong son,1972
buon tung phut giay,trinh cong son,1970
ca dao me,trinh cong son,1965
canh dong hoa binh,trinh cong son,1968
cat bui,trinh cong son,1965
chi co ta trong mot doi,trinh cong son,1972
chieu mot minh qua pho,trinh cong son,1961
chim duoi con mua,trinh cong son,1974
chinh chung ta phai noi,trinh cong son,1969
cho mot nguoi vua nam xuong,trinh cong son,1968
cho nhin que huong sang choi,trinh cong son,1967
cho que huong mim cuoi,trinh cong son,1967
chua mat niem tin,trinh cong son,1972
chua mon giac mo,trinh cong son,1969
con tuoi nao cho em,trinh cong son,1964
cuoi cung cho mot tinh yeu,trinh cong son,1958
da trang ca,trinh cong son,1962
dan ta van song,trinh cong son,1968
"dung lai nguoi, dung lai nha",trinh cong son,1968
dai bac ru dem,trinh cong son,1965
"dem bay gio, dem mai",trinh cong son,1965
dem thay ta la thac do,trinh cong son,1972
di tim que huong,trinh cong son,1965
doa hoa vo thuong,trinh cong son,1972
doi co mot ngay,trinh cong son,1972
doi mat nao mo ra,trinh cong son,1968
dong dao hoa binh,trinh cong son,1968
"dung mong ai, dung nghi ngai",trinh cong son,1969
gia tai cua me,trinh cong son,1965
hanh ca,trinh cong son,1968
hay di cung nhau,trinh cong son,1968
hay nhin lai,trinh cong son,1972
hay song dum toi,trinh cong son,1965
Hue - Sai Gon - Ha Noi,trinh cong son,1969
loi me ru,trinh cong son,1972
loi ru dem,trinh cong son,1972
loi thien thu goi,trinh cong son,1972
"mot ngay vinh quang, mot ngay tuyet vong",trinh cong son,1972
mua ao quan,trinh cong son,1972
nang thuy tinh,trinh cong son,1964
ngay dai tren que huong,trinh cong son,1965
ngay mai day binh yen,trinh cong son,1968
ngu di con,trinh cong son,1965
ngu ngon mua dong,trinh cong son,1965
nguoi con gai Viet Nam da vang,trinh cong son,1965
"nguoi gia, em be (ghe da cong vien)",trinh cong son,1966
nguyet ca,trinh cong son,1972
nhin nhung mua thu di,trinh cong son,1964
nhung ai con la Viet Nam,trinh cong son,1969
nhung giot mau tro bong,trinh cong son,1969
nhung hom nay,trinh cong son,1969
nhung giot mua khuya,trinh cong son,1959
noi vong tay lon,trinh cong son,1968
roi le ru nguoi,trinh cong son,1975
sao mat me chua vui?,trinh cong son,1968
ta di dung co,trinh cong son,1969
ta phai thay mat troi,trinh cong son,1969
ta quyet phai song,trinh cong son,1969
ta thay gi dem nay,trinh cong son,1968
thuong mot nguoi,trinh cong son,1959
tinh ca nguoi mat tri,trinh cong son,1965
tinh xa,trinh cong son,1969
toi biet toi yeu,trinh cong son,1972
toi se di tham,trinh cong son,1965
tu tinh khuc,trinh cong son,1972
tuoi tre Viet Nam,trinh cong son,1969
uot mi,trinh cong son,1958
"Viet Nam oi, hay vung len",trinh cong son,1969
xac ta xac thu,trinh cong son,1972
